# CUTOFF	ENERGY [MeV]	OMEGA [MeV]	PHSH [deg]	ERE [fm^-(2l+1)]	Flag G_C	Flag G_CT	G_C(rmin,rmin) [MeV^-1 fm^-3]	 G_CT(rmin,rmin) [MeV^-1 fm^-3]
0.0	1.3141	0.5	-81.61480794429829	0.04215576507431602	0	0	-24.107023557435976	-24.106565034619607
0.0	1.3219	0.5	-83.0744463677022	0.04554007216931254	0	0	-24.107025198181198	-24.10664585988339
0.0	1.3297	0.5	-84.52957841568882	0.04891933120560663	0	0	-24.107027032990054	-24.106726771415058
0.0	1.3374	0.5	-85.96142308201772	0.052253918714372016	0	0	-24.10702904206345	-24.1068068244167
0.0	1.3452	0.5	-87.40706325010206	0.055634248732666036	0	0	-24.107031280965064	-24.106888193075385
0.0	1.353	0.5	-88.84787052426131	0.059021025320394035	0	0	-24.107033724207778	-24.106969934983812
0.0	1.3608	0.5	89.7160538707537	0.062418443509889246	0	0	-24.10703636709634	-24.107052146451014
0.0	1.3685	0.5	88.30283705676106	0.06578702959094337	0	0	-24.107039163657475	-24.107133859446076
0.0	1.3763	0.5	86.8754888637755	0.06921882232583017	0	0	-24.10704217469472	-24.107217293951976
0.0	1.3841	0.5	85.45202775807043	0.07267498068470442	0	0	-24.107045349966235	-24.107301493097864
0.0	1.3919	0.5	84.03202470262116	0.07616052221183164	0	0	-24.107048671525533	-24.107386559784707
0.0	1.3996	0.5	82.63314890339832	0.07963531423897777	0	0	-24.107052074102793	-24.107471490154186
0.0	1.4074	0.5	81.21855264127908	0.08319501808811847	0	0	-24.107055623965348	-24.107558598322747
0.0	1.4152	0.5	79.80587896598934	0.0868004367996905	0	0	-24.1070592537915	-24.107646901108147
0.0	1.423	0.5	78.39457648270486	0.09045750823069755	0	0	-24.107062938580842	-24.107736516558074
0.0	1.4308	0.5	76.98409857594972	0.09417242024768355	0	0	-24.107066652681013	-24.107827568098923
0.0	1.4385	0.5	75.59199615238138	0.09790273645268815	0	0	-24.10707032266133	-24.10791898739678
0.0	1.4463	0.5	74.18161737017792	0.10175200100525995	0	0	-24.10707401849417	-24.10801328392303
0.0	1.4541	0.5	72.77058439023361	0.10567921198834412	0	0	-24.107077667507603	-24.108109424848582
0.0	1.4619	0.5	71.35848965678112	0.10969170589298587	0	0	-24.10708124577032	-24.10820756302594
0.0	1.4696	0.5	69.96311576994941	0.11374391067887238	0	0	-24.107084686768054	-24.108306560844206
0.0	1.4774	0.5	68.54793641611246	0.11794905578314638	0	0	-24.107088059327722	-24.108409161367998
0.0	1.4852	0.5	67.13084534595178	0.1222636119138581	0	0	-24.107091299389534	-24.108514278847665
0.0	1.493	0.5	65.71169446494807	0.1266965373491124	0	0	-24.107094390543253	-24.10862211277064
0.0	1.5007	0.5	64.30864139611852	0.1311980014180716	0	0	-24.107097282454703	-24.108731438457266
